desa  ,longitude,latitude,luas_sawah_ha,kec
Krebetsenggrong,112.648128,-8.09133,96.5,Bululawang
Lumbangsari,112.628768,-8.091489,151,Bululawang
Wandanpuro,112.634802,-8.075761,129.379,Bululawang
Bululawang,112.64515,-8.07645,87,Bululawang
Sempalwadak,112.642966,-8.063078,77.081,Bululawang
Kelurahan Turen,112.694374,-8.16924,103,Turen
Kelurahan Sedayu,112.682409,-8.185275,81,Turen
Kemulan,112.652614,-8.227823,180,Turen
Tawangrejeni,112.676449,-8.226376,181,Turen
Sawahan,112.658583,-8.212148,257,Turen
Undaan,112.678032,-8.197121,98.7,Turen
Gedog Kulon,112.680942,-8.204489,114,Turen
Gedog Wetan,112.694341,-8.209736,129,Turen
Talok,112.70034,-8.189275,160,Turen
Tanggung,112.676465,-8.175012,123,Turen
Jeru,112.676517,-8.160044,120,Turen
Pagedangan,112.712178,-8.162841,150,Turen
Sanankerto,112.741895,-8.150794,243,Turen
Sananrejo,112.718183,-8.14749,147.7,Turen
Kedok,112.700184,-8.143034,92,Turen
Talangsuko,112.682318,-8.144213,194,Turen
Tumpukrenteng,112.694307,-8.128359,145,Turen
Sumberputih,112.79711,-8.159606,60,Wajak
Wonoayu,112.789684,-8.148373,1,Wajak
Bambang,112.816311,-8.12818,1,Wajak
Bringin,112.777828,-8.143676,107,Wajak
Dadapan,112.747935,-8.130241,153,Wajak
Patokpicis,112.768676,-8.120775,130,Wajak
Blayu,112.741991,-8.115414,147,Wajak
Codo,112.720972,-8.134089,199,Wajak
Sukolilo,112.709146,-8.114535,145,Wajak
Kidangbang,112.700192,-8.097221,167,Wajak
Sukoanyar,112.718177,-8.090981,117,Wajak
Wajak,112.736001,-8.100125,207,Wajak
Ngembal,112.724128,-8.07052,71,Wajak
Permanu,112.563167,-8.049031,130.13,Pakisaji
Karangpandan,112.591499,-8.074401,153,Pakisaji
Glanggang,112.599053,-8.087977,130.64,Pakisaji
Sutojayan,112.610984,-8.071996,189,Pakisaji
Wonokerso,112.616923,-8.081932,163.75,Pakisaji
Karangduren,112.621411,-8.065072,181.5,Pakisaji
Pakisaji,112.599054,-8.067656,85,Pakisaji
Jatisari,112.575056,-8.048226,96,Pakisaji
Wadung,112.581085,-8.037912,155,Pakisaji
Genengan,112.603416,-8.050861,94.5,Pakisaji
Kebonagung,112.610983,-8.036082,219,Pakisaji
Kendalpayak,112.622842,-8.050669,192.1,Pakisaji
Sumbersuko,112.527679,-8.004881,75.1,Wagir
Mendalanwangi,112.599019,-8.032026,147.6,Wagir
Sitirejo,112.60648,-8.0226,160,Wagir
Parangargo,112.59306,-8.016959,148,Wagir
Gondowangi,112.581051,-8.017678,137,Wagir
Pandanrejo,112.563238,-8.008498,125,Wagir
Petungsewu,112.539496,-7.999377,105,Wagir
Sukodadi,112.551444,-7.993639,24.1,Wagir
Sidorahayu,112.593097,-8.001429,115,Wagir
Jedong,112.569201,-7.987699,70,Wagir
Dalisodo,112.539422,-7.979194,1,Wagir
Pandanlandung,112.581097,-7.976918,20,Wagir
Ngajum,112.539118,-8.090872,546,Ngajum
Palaan,112.546873,-8.112574,105,Ngajum
Ngasem,112.551315,-8.090515,285,Ngajum
Banjarsari,112.56331,-8.089733,161,Ngajum
Kranggan,112.563333,-8.074583,177,Ngajum
Kesamben,112.56921,-8.064084,151,Ngajum
Babadan,112.542359,-8.03203,99,Ngajum
Balesari,112.506544,-8.02399,48,Ngajum
Maguan,112.528898,-8.05727,103,Ngajum
Bangelan,112.482425,-8.073076,80,Wonosari
Kluwut,112.503975,-8.112673,227,Wonosari
Plandi,112.521752,-8.111376,593.8,Wonosari
Plaosan,112.509546,-8.082372,221.2,Wonosari
Kebobang,112.506689,-8.054743,105.5,Wonosari
Wonosari,112.497859,-8.032688,1,Wonosari
Sumbertempur,112.485738,-8.048026,6.5,Wonosari
Sumberdem,112.461845,-8.049584,30.4,Wonosari
Slorok,112.515814,-8.166833,178,Kromengan
Jatikerto,112.539469,-8.13535,333,Kromengan
Ngadirejo,112.509478,-8.132521,179,Kromengan
Kromengan,112.490001,-8.1302,491.047,Kromengan
Peniwen,112.470746,-8.1157,233.058,Kromengan
Jambuwer,112.461711,-8.091896,311.915,Kromengan
Karangrejo,112.485646,-8.113125,234.4,Kromengan
Sumberpucung,112.472907,-8.156903,277,Sumberpucung
Jatiguwi,112.485773,-8.166054,250,Sumberpucung
Sambigede,112.505457,-8.158365,193,Sumberpucung
Senggreng,112.509604,-8.178424,311,Sumberpucung
Ternyang,112.527165,-8.172371,307,Sumberpucung
Ngebruk,112.527325,-8.156945,188,Sumberpucung
Karangkates,112.456045,-8.150918,166,Sumberpucung
Kelurahan Kepanjen,112.570851,-8.131085,39,Kepanjen
Kelurahan Ardirejo,112.579484,-8.125332,73,Kepanjen
Kelurahan Cepokomulyo,112.561701,-8.138992,25,Kepanjen
Kelurahan Penarukan,112.575303,-8.140208,98,Kepanjen
Jenggolo,112.545204,-8.172101,215,Kepanjen
Sengguruh,112.552692,-8.173046,60,Kepanjen
Kemiri,112.561699,-8.167278,136,Kepanjen
Tegalsari,112.575178,-8.165087,163,Kepanjen
Mangunrejo,112.545516,-8.156385,218,Kepanjen
Panggungrejo,112.55739,-8.145959,135,Kepanjen
Kedung Pedaringan,112.579538,-8.148477,75,Kepanjen
Talangagung,112.55279,-8.127716,75,Kepanjen
Dilem,112.56905,-8.114708,67,Kepanjen
Sukoraharjo,112.597746,-8.111033,150,Kepanjen
Curungrejo,112.605441,-8.09659,145,Kepanjen
Jatirejoyoso,112.587805,-8.107004,256,Kepanjen
Ngadilangkung,112.575145,-8.103902,101,Kepanjen
Mojosari,112.58276,-8.089475,122,Kepanjen
Sukorejo,112.585728,-8.150309,127,Gondanglegi
Bulupitu,112.598996,-8.133952,244,Gondanglegi
Sukosari,112.598919,-8.15373,155.328,Gondanglegi
Panggungrejo,112.606419,-8.148913,109,Gondanglegi
Gondanglegi Kulon,112.626011,-8.169706,440,Gondanglegi
Gondanglegi Wetan,112.640998,-8.186023,36.7,Gondanglegi
Putat Kidul,112.64646,-8.164882,152,Gondanglegi
Putat Lor,112.647147,-8.154909,288.7,Gondanglegi
Sepanjang,112.661364,-8.186928,350,Gondanglegi
Urekurek,112.66476,-8.143762,1,Gondanglegi
Ketawang,112.64661,-8.140258,133,Gondanglegi
Ganjaran,112.616661,-8.141499,450,Gondanglegi
Putukrejo,112.62885,-8.12648,350,Gondanglegi
Sumberjaya,112.610932,-8.123038,120,Gondanglegi
Kanigoro,112.580973,-8.184084,511,Pagelaran
Balearjo,112.569084,-8.196335,138,Pagelaran
Kademangan,112.593106,-8.203845,377,Pagelaran
